iter,time,reward,steps,convergence
1,0.0012040150000025562,-194.32,198.6,89.91
2,0.002184911000000511,-192.06,195.72,96.048
3,0.003089719999998408,-201.9,198.48,86.148
4,0.004046750999997073,-181.54,189.84,90.537858
5,0.004741754999997738,-194.74,198.3,81.44785800000001
6,0.005237118000000152,-190.7,195.34,72.35785800000001
7,0.0060908990000001495,-185.34,193.88,63.274931479710006
8,0.006437215000001828,-167.12,183.58,64.71937823860799
9,0.007283773000001048,-181.3,190.02,54.819378238607996
10,0.008127760000000706,-185.38,194.46,45.648493984375236
11,0.0089756300000019,-179.82,192.94,44.83849403712246
12,0.009924853000001121,-168.32,187.5,28.866079223266173
13,0.010769452000001678,-182.3,191.38,28.86607922328043
14,0.011692848000002698,-185.44,196.54,14.582469136675774
15,0.012607278000000832,-172.06,189.22,13.778044782358297
16,0.013450449000000475,-172.48,189.64,12.96860296657805
17,0.014338538000000511,-180.0,190.92,12.151535860645179
18,0.014680298000001812,-172.32,189.48,0.8070891017471794
19,0.014975846000002235,-185.54,194.62,0.8070897438235562
20,0.015811048999999855,-198.46,199.78,0.07797399805632352
