iter,time,reward,steps,convergence
1,0.0017314880000043331,-182.24,187.88,89.59931658
2,0.0024244400000057453,-202.8,200.0,80.17393529112499
3,0.004237949000007291,-191.7,198.76,71.23282205927373
4,0.00491770000000713,-199.0,200.0,61.77842037796063
5,0.006258462000005238,-197.62,199.7,54.66842037796063
6,0.006651265000002127,-200.8,200.0,45.749510377960625
7,0.007493791000001693,-199.0,200.0,36.611066393609896
8,0.008053832000001648,-49.34,127.1,27.20503013776273
9,0.008237354000002028,-197.68,198.68,17.789378343760973
10,0.00861559700000214,-78.72,145.48,8.538164929515094
11,0.008763004000002184,-178.22,191.34,8.791322714783268
12,0.009108593000000553,-193.54,198.58,8.91962557291102
13,0.009254327000000728,-88.28,155.94,8.885992285316583
14,0.010130699000001187,-56.54,128.24,9.064026369538599
15,0.010323038000002782,-191.8,195.54,8.189130281802997
16,0.011487954999999772,-71.9,137.54,7.860927472451479
17,0.012214009000004467,6.26,79.58,7.628020669919484
18,0.012337199000000965,16.78,65.02,7.63239507693437
19,0.012432562999997288,14.0,73.86,8.08602074373391
20,0.012565917999992848,20.74,63.08,8.18249632418425
21,0.012663176999993198,-20.42,98.18,7.774703584424394
22,0.012754091999994444,29.9,62.0,7.762320942548274
23,0.012853087999992852,49.04,46.9,7.689248530499758
24,0.013066167999987499,46.46,54.78,8.158032780735933
25,0.013195891999991716,32.98,67.0,7.504013840885849
26,0.013296565999993959,40.24,61.0,7.962367920959028
27,0.013437300999996182,75.7,26.3,8.717356094743147
28,0.013534881999994752,75.5,26.5,8.631872949803308
29,0.013601931999993155,74.94,27.06,8.81668887884805
30,0.013776644999992982,57.16,44.84,8.612843926008116
31,0.014000998999989633,65.08,36.16,9.660000487926254
32,0.014160507999989136,8.78,87.16,9.717043683593229
33,0.014292124999990108,43.82,58.18,9.543876882341184
34,0.014381327999991811,77.04,24.96,9.385941341495096
35,0.014497081999991224,60.56,41.44,9.079515348917862
36,0.014586404999988645,56.9,45.1,8.330914777486075
37,0.014669304999991084,40.52,61.48,7.395684146658961
38,0.01476338399999122,75.92,26.08,7.4885577718416325
39,0.014864285999991012,75.4,26.6,6.999414762951642
40,0.014959724999989987,59.78,42.22,7.207209357230036
41,0.015093774999989762,75.72,26.28,6.1333786550945115
42,0.015196783999989805,77.0,25.0,6.558486086845183
43,0.015354639999991093,59.32,42.68,6.3218914274896605
44,0.015494347999990055,49.52,52.48,6.25494365396612
45,0.015669319999986442,12.72,81.2,6.287724720520842
46,0.01577041399998791,56.0,46.0,6.780697489524362
47,0.015882681999983106,52.58,49.42,7.455500760444593
48,0.015981548999988604,76.82,25.18,7.659907269170608
49,0.016052468999994574,76.0,26.0,7.641190827181847
50,0.0162347469999915,74.2,27.8,7.237334494781011
51,0.016340561999989234,75.74,26.26,7.583127202361513
52,0.016499760999984403,7.08,92.9,7.206742193853887
53,0.016651070999984086,30.2,71.8,7.554998088918532
54,0.01681570999998172,-22.66,108.5,8.146870633673874
55,0.016938563999985945,-61.58,135.3,7.962129509438123
56,0.017101795999984404,-149.02,178.3,7.9109931312537585
57,0.018198536999982196,-191.24,196.1,7.963566022122666
58,0.018516756999979123,26.44,73.54,7.917252925336358
59,0.01862640799998161,58.2,34.34,8.196483263660838
60,0.018740743999977383,53.4,48.6,9.299947546053371
61,0.01887720799997794,31.64,36.76,10.283387460125956
62,0.01903465999998133,44.58,35.18,10.729749051171547
63,0.01913313199998612,57.26,29.3,10.82983796405787
64,0.019215420999991295,33.44,33.8,10.269864809982968
65,0.01931941999999509,46.02,29.52,10.037391103106362
66,0.019413580999994906,68.98,31.32,9.846155779580226
67,0.019498802999997622,39.56,35.12,9.994960920878448
68,0.019567375999997694,10.16,62.54,10.644558764551274
69,0.019657583999993733,41.66,41.9,11.059890288884507
70,0.01975634099999013,-142.14,101.8,10.901143904026465
71,0.01984810899999445,58.46,43.54,10.834626295494997
72,0.019947184999992373,75.04,26.96,10.97972451237275
73,0.02004675199999184,45.92,56.08,11.335467673050323
74,0.020198352999990732,76.04,25.96,10.970316286776862
75,0.020264591999989534,77.14,24.86,11.26962509233044
76,0.020577637999984688,-62.02,133.72,11.438488988033717
77,0.020707393999984447,-50.76,132.56,11.480392320084471
78,0.02089220299998118,-100.78,148.62,11.320580786027344
79,0.021040841999983684,-40.22,117.98,11.453065221712855
80,0.021212904999984517,74.42,27.58,10.63339769443009
81,0.021300637999985383,75.98,26.02,9.919191088910182
