iter,time,reward,steps,convergence
1,0.0035516809999975862,-196.9,199.56,89.58176397362715
2,0.01144204799999926,-194.64,199.68,80.05247183162716
3,0.022913871999996616,-158.8,187.54,70.62678695783013
4,0.024396682999999086,-193.44,198.48,61.06902180913211
5,0.024734017000000108,-137.22,174.58,51.678415591532165
6,0.025019626000002404,-196.68,199.7,42.765951321478816
7,0.02602179899999868,-199.0,200.0,35.65595132147881
8,0.026842179999995608,-184.32,194.38,28.526599312235287
9,0.028068473999994126,-199.0,200.0,19.03417070221044
10,0.029983068999996476,-31.52,123.42,9.71173938096639
11,0.030313008999996782,-178.54,188.56,9.748565596049627
12,0.030827612999999587,-36.3,111.96,13.17816921941279
13,0.03096936000000028,-197.22,199.88,13.325667667906723
14,0.031239771999999277,74.7,27.3,13.438862427864152
15,0.03135959400000132,55.4,44.58,13.466934620031044
16,0.0315073080000019,71.2,28.78,13.018692835364373
17,0.0315773140000033,77.2,24.8,10.744474305454554
18,0.03169327799999877,21.86,60.08,8.665693849533145
19,0.03179713199999412,43.44,58.56,8.669768387605876
20,0.0318843329999936,75.98,26.02,8.605974554625195
21,0.03219625599999176,0.64,97.32,8.685894197675646
22,0.03235433899999407,70.44,29.54,5.362212558667755
23,0.03243789799999064,73.94,28.06,5.040766076435434
24,0.03255539399999208,-28.22,112.04,5.3522500480409905
25,0.032776335999990636,-7.46,93.3,5.382583990569404
26,0.03304294199998736,5.98,85.16,5.296357592505897
27,0.033124897999989855,48.34,50.88,5.1229723695886715
28,0.03329355999998995,46.8,50.5,4.942440447767788
29,0.03349004299998626,-13.16,92.76,5.118014769330698
30,0.03409731799998639,33.26,64.7,5.164275999949182
31,0.036359760999985724,75.06,26.94,5.436958565060402
32,0.03648879399998606,75.28,26.72,5.83126852486301
33,0.0366487019999866,46.34,55.66,6.776075406071675
34,0.03688882499998414,76.06,25.94,6.626076468793604
35,0.03697567099998622,20.18,77.78,6.681569791900725
36,0.03713190999998517,75.98,26.02,6.686507687085884
37,0.03722314399998794,76.2,25.8,6.742342947733492
38,0.03731815999998389,28.04,71.94,7.183364995263494
39,0.03750629599998945,66.42,35.58,7.718879831037606
40,0.03763625099998791,53.66,48.34,7.950465891563342
41,0.03778255899998584,57.7,44.3,7.877867263458748
42,0.03793005599998622,51.36,50.64,7.712575015742871
43,0.03804830999998643,50.96,51.04,7.124068244196917
44,0.038157620999989206,56.62,45.38,7.123162572508771
45,0.03830421599999312,60.52,41.48,7.302963742251248
46,0.03846208899999226,39.04,62.96,7.536690697478787
47,0.03917974599998786,31.22,68.76,7.977342603497943
48,0.039471926999986806,-161.34,184.56,7.976270772585565
49,0.03995968799998906,63.14,38.86,7.513904777329927
50,0.04014768799999047,48.78,53.22,7.743880608037867
51,0.040279650999991645,70.4,31.6,7.715748947615151
52,0.040443122999988645,71.44,30.56,7.759169111084482
53,0.040547627999991676,70.26,31.74,7.630525740913164
54,0.04068390099998709,66.58,33.4,7.3896396517321135
55,0.04172683799998822,76.12,25.88,7.544383419751204
56,0.04185722299998673,51.56,48.42,7.597401244697669
57,0.0420045449999904,72.6,29.4,7.383674911159597
58,0.04224555199999713,-23.88,109.72,7.691050818032602
59,0.04240336899999875,-195.5,198.52,7.969630678698491
60,0.04309819999999576,-44.58,128.4,8.128774130546166
61,0.043283735999992246,-30.6,124.52,8.476592327946776
62,0.043560333999991485,38.76,63.24,8.526396360926551
63,0.04413658099999651,-98.14,149.64,11.01817940603559
64,0.04426716900000116,-13.82,107.74,11.996172412004338
65,0.044613730000001794,10.18,77.68,12.345930375447347
66,0.04475359000000623,65.02,36.98,12.864021938203862
67,0.04488648200000256,74.24,27.76,13.492090488726655
68,0.04499596800000205,72.54,29.46,13.024412355447865
69,0.04509151200000616,47.14,54.86,13.278802589615655
70,0.04543629900000212,59.2,42.8,12.695989469233211
71,0.045566687000004436,72.98,29.02,12.576562354877666
72,0.0456594080000059,37.76,58.18,13.114021103268021
73,0.04584984100000611,50.96,48.84,10.996270971056205
74,0.04595164800000617,65.02,34.96,10.315919966339719
75,0.046129589000010185,53.86,41.9,10.090776305051355
76,0.04631099900001345,73.24,28.76,9.746939055591804
77,0.046392362000013065,38.7,61.28,9.55117363434706
78,0.04667062000001465,67.44,32.54,10.439048318468158
79,0.04685862900001325,6.68,89.26,10.63163270439737
80,0.04697360400001571,-153.5,180.76,11.290011646430944
81,0.04711816800001856,67.18,34.82,10.97067973556741
82,0.04722518000001941,65.62,36.38,10.94403102823515
83,0.04732898200001756,73.34,28.66,10.510472489162343
84,0.047441942000020276,73.5,28.5,10.824748512883414
85,0.047527472000020055,72.14,29.86,10.540936003988996
86,0.04766814500001715,67.28,34.72,10.443218808540067
87,0.04779348700002117,55.98,46.02,10.388920632039191
88,0.047980689000020504,55.22,46.78,9.280141099098708
89,0.04808514800001973,56.62,45.38,8.373264451877757
90,0.04818020500001552,42.46,57.52,7.708850665013128
91,0.04826673400001624,72.76,29.24,8.372010579655145
92,0.04847912200001758,29.28,70.7,7.602622718698774
93,0.0485937590000205,29.86,72.14,8.145539736540673
94,0.04873441800002354,45.24,56.76,7.849159457777468
95,0.048839509000025316,44.14,57.86,7.393793999302758
96,0.04895922800002239,35.42,66.58,8.14214349325097
97,0.04908303000001979,49.84,52.16,8.438973835454973
98,0.049233922000020414,63.18,38.82,8.364330782300662
99,0.049352071000015485,47.54,54.46,8.500332913433578
100,0.04955299600001695,75.68,26.32,8.704799067327084
101,0.04966967700001845,21.3,78.68,8.624585723010103
102,0.04997888600001943,61.62,40.38,9.30695870808266
103,0.05022448700001547,65.74,36.26,8.821011034260135
104,0.05035531400001503,76.16,25.84,8.991524242955268
105,0.05048636600000833,68.9,33.1,9.089843677849982
106,0.05058851000001141,53.34,48.66,8.28360540094254
107,0.05073350500001084,56.12,45.88,7.4010994994529185
108,0.05096387200001118,75.76,26.24,7.427303858032424
109,0.05110956100001118,73.84,28.16,7.219585640296685
110,0.051230545000017,74.4,27.6,7.158188039314456
111,0.05145723800001889,38.72,63.28,6.429721430514816
112,0.051548426000017855,1.62,94.32,5.771336685762592
113,0.051667753000018024,67.7,34.3,5.748301911640538
114,0.051782881000022485,46.8,55.2,5.834432651278744
115,0.05193465900002536,63.94,38.06,6.367305440882864
116,0.0519969330000265,75.86,26.14,6.225305214037361
117,0.05216085300002504,58.12,43.88,6.5284827855747505
118,0.05224526500002469,10.9,87.06,6.615615460871814
119,0.05249852900002594,76.96,25.04,6.77085032687484
120,0.0527515270000265,74.94,27.06,6.78719614261621
121,0.05292514600002107,44.44,57.56,7.008905543847279
122,0.05335954400002407,62.24,39.76,7.063608539679611
123,0.05361984700002154,47.56,54.44,7.04649872615987
124,0.05378740900002299,-70.54,140.22,6.673384261465005
125,0.05398467500001658,25.96,74.02,6.159737711309913
126,0.05407631600002105,-120.84,162.24,5.953426603355421
127,0.054710075000024005,66.98,35.02,5.891372536336035
128,0.054811648000026025,18.7,81.28,6.380575959357047
129,0.05494863000002681,17.08,82.9,6.607774222766631
130,0.05508421800002594,30.82,71.18,6.674285348722338
131,0.05519842000002484,45.64,56.36,7.283558005867283
132,0.055310708000028797,75.68,26.32,7.713030720425621
133,0.055432515000028104,60.7,41.3,8.111910045550335
134,0.055543223000022124,46.54,55.46,8.380249284418372
135,0.05569302900002526,63.08,38.92,8.686331776390364
136,0.05582701600002338,60.06,41.94,9.26599897739215
137,0.056005106000021954,54.6,47.4,9.13935811010974
138,0.05613832200001667,74.14,27.86,8.914229741820781
139,0.05626763700001902,68.92,33.08,9.05291872219669
140,0.05640482200001884,53.36,48.64,9.513510215201185
141,0.056498969000017496,75.34,26.66,8.652144986095065
142,0.05666599300001707,73.48,28.52,8.0222006678923
143,0.05674802400001511,44.44,57.56,8.376438864421258
144,0.0568991660000151,59.7,42.3,8.747202977606804
145,0.05730691700001245,58.62,43.38,9.172269214039666
146,0.05747635100001247,69.96,32.04,9.310897567224453
147,0.057584929000014995,55.22,46.78,9.313313012543826
148,0.05774436000001515,28.26,67.68,9.654422961931655
149,0.05799857200001668,10.8,89.18,10.083825917482303
150,0.05843046800001872,-54.02,137.66,9.482422949494417
151,0.05862255200001698,56.62,45.38,9.888579090792522
152,0.05879598600001401,55.76,46.24,9.922579313963393
153,0.05888820200001277,61.38,40.62,9.767582183237272
154,0.05907426000001692,43.86,58.14,9.508719854299818
155,0.05947710700001352,59.0,43.0,8.818919757474053
156,0.05983622200001548,76.72,25.28,8.363827022165685
157,0.059975857000011956,75.82,26.18,8.399103182213652
158,0.060074946000014506,77.3,24.7,7.94762181620227
159,0.06027149100001594,57.94,44.06,6.967469184778213
160,0.06043357600001542,62.84,39.16,6.864736485656552
161,0.06078317200001493,75.88,26.12,6.631413412596419
162,0.06614638200001366,75.9,26.1,6.567462039723074
163,0.06624539600001356,76.04,25.96,5.7464151064841955
164,0.06640340900001718,75.94,26.06,5.29610484555984
165,0.06653135100001606,-73.3,136.92,5.237994349319129
166,0.06666323900001458,62.24,39.76,5.135413168354267
167,0.06686575000001227,61.5,40.5,5.219788761752718
168,0.0670646510000168,-44.5,122.26,5.471020193565689
169,0.06729351700001729,70.66,31.34,5.588805841051322
170,0.06739955300001554,75.4,26.6,5.89159568636878
171,0.06757998500001605,74.66,27.34,5.8859239477693235
172,0.06767100800001202,55.52,46.48,6.198911947155059
173,0.06778008600001328,58.32,43.68,6.933683877672104
174,0.06840050900001415,-52.28,128.02,7.044422789205489
175,0.06854170900001577,38.22,63.78,7.266094502649127
176,0.0686610070000171,59.2,42.8,7.394604577547976
177,0.06879421800001495,53.9,48.1,7.16335286765203
178,0.06901047900001345,17.26,82.72,7.145146559152835
179,0.06919676200001845,-163.28,182.46,7.449018193017524
180,0.06949973800001885,56.12,45.88,7.103761210462271
181,0.0696125920000199,61.82,40.18,7.166511641314133
182,0.06976149500001583,60.22,41.78,7.22932279974747
183,0.06998516800001653,62.44,39.56,7.169813825959531
184,0.0703000810000205,73.9,28.1,7.612771046229964
185,0.07043023700002493,63.7,38.3,8.253584362436165
186,0.07060262900002812,28.16,71.82,8.554078267739717
187,0.07070083100003188,-146.58,177.88,9.544143066110934
188,0.07087409300002889,60.3,41.7,9.07471300051128
