iter,time,reward,steps,convergence
1,0.0013664400000017451,-199.0,200.0,90.98623765142987
2,0.0029819459999984588,-199.0,200.0,90.08623765142987
3,0.007964908999998244,-209.08,200.0,80.52992928185546
4,0.010223021999998139,-186.18,195.26,78.64802928185546
5,0.01051169999999857,-106.44,161.98,75.10303431887546
6,0.011425841999997743,-52.42,126.14,70.8568469514499
7,0.012280480999997678,-199.0,200.0,65.98640659041885
8,0.01293712999999741,-94.56,144.3,60.20638177755963
9,0.013024214999997952,27.98,69.08,53.5469183164408
10,0.01314153199999879,-33.46,108.34,46.76812116983697
11,0.014518214999998946,-135.92,159.62,49.26959432329032
12,0.015173178000001286,61.94,40.06,47.93539629890556
13,0.015351103000003974,76.42,25.58,56.59170466847998
14,0.015438378000002473,75.92,26.08,55.471928288422546
15,0.015544184000003014,58.88,43.12,56.79691315983283
16,0.01563970200000142,57.04,40.92,59.072684325377246
17,0.015741497000000493,76.44,25.56,62.47090345708991
18,0.015840657000001812,76.66,25.34,66.2400062763189
19,0.016087714000001085,75.34,26.66,68.32365310707132
20,0.01620426800000274,30.32,71.68,72.16653677986596
21,0.016319824000003536,17.02,76.9,76.05971947879014
22,0.016495737000003174,69.58,32.42,70.12425839804857
23,0.016690947000004286,73.66,28.34,69.91145050444537
24,0.016786195000005222,76.2,25.8,70.19634738666788
25,0.016882380000005526,61.48,40.52,70.55370334684574
26,0.016979361000007742,76.7,25.3,63.827625617355054
27,0.01705989200000957,39.6,62.4,63.16360936405273
28,0.017196197000011182,61.82,40.18,56.10220414704061
29,0.017307068000011583,30.04,69.94,56.12092895411898
30,0.01739749800001178,77.32,24.68,57.877985029431
31,0.017502261000011288,57.48,44.52,50.149479476028446
32,0.0175728260000092,59.16,42.84,55.936194026817375
33,0.01767185900001067,62.56,39.44,55.6263129041623
34,0.01778043200001278,58.52,43.48,48.98947330392938
35,0.017852556000011788,57.64,42.34,48.08759222631538
36,0.018006590000013034,57.1,44.9,47.85326646007513
37,0.018144550000013027,41.08,60.92,43.925010028714595
38,0.018250904000012724,23.32,72.08,49.93302987032135
39,0.018382279000011437,63.08,38.92,45.46646691652033
40,0.01845969100001099,36.4,61.38,43.77856569150014
41,0.01862709000001317,75.24,26.76,51.07940853460785
42,0.018725011000015,75.62,26.38,45.082259168226685
43,0.018825040000017168,5.7,90.24,43.81334325986321
44,0.018972322000017527,36.34,63.64,44.19594832088702
45,0.019086609000016352,25.72,76.28,43.00272548854532
46,0.01924915900001878,16.34,81.62,43.19374594845517
47,0.01943642400001977,54.48,47.52,40.07287295963242
48,0.0195987860000173,56.36,45.64,34.41053935582121
49,0.01972827000001587,75.64,26.36,34.23936116758605
50,0.020129547000017567,54.82,47.18,29.18669962303819
51,0.02023077800001616,55.1,46.9,22.013941169363697
52,0.02034321800001848,76.14,25.86,26.57713821767925
53,0.02043480600001857,70.68,31.32,20.560773766943562
54,0.02055965900001766,55.06,46.94,20.259476173074425
55,0.020709210000017464,56.94,45.06,15.578252960746221
56,0.02081581400001653,18.38,83.62,20.986264996789075
57,0.0209555390000169,41.16,60.84,21.658550935791446
58,0.021071306000017387,76.68,25.32,21.691468753463514
59,0.021194615000016626,41.92,60.08,21.557822513787357
60,0.02138744400001613,55.62,46.38,21.17105647682532
61,0.021534833000014686,57.02,44.98,21.10262201892636
62,0.02166951800001371,62.52,39.48,15.805273869440175
63,0.021744782000013174,76.12,25.88,15.242238903771831
64,0.021871717000014,58.64,43.36,15.253412964628064
65,0.022014877000014366,56.32,45.68,14.68143092779447
66,0.02210624800001426,74.84,27.16,9.384201075948367
67,0.02219956200001505,41.72,60.28,9.060726677925231
68,0.02230904600001793,69.04,32.96,8.376347612281432
69,0.022407849000018132,60.98,41.02,8.38744551245407
70,0.022513364000015912,70.58,31.42,7.965579572654336
71,0.02265806800001613,59.94,42.06,7.880393288269905
72,0.022749391000015606,75.46,26.54,7.885848924370089
73,0.022839342000018803,62.88,39.12,7.830734467521333
74,0.022926135000020054,-106.24,155.9,8.444005496389494
75,0.023068510000019415,52.72,49.28,8.508260001802915
76,0.0231619510000165,76.4,25.6,8.41303756012814
77,0.023250748000016586,62.66,39.34,8.514899653843438
78,0.023347966000017095,59.46,42.54,8.778411028704415
79,0.023432659000018674,56.6,45.4,9.954111854591298
80,0.02352761600001685,-8.5,104.44,9.958891089740773
81,0.02394574800001692,35.72,64.26,10.043387377238611
