iter,time,reward,steps,convergence
1,0.031892787,-211.78,194.04,89.1
2,0.04044953800000001,-218.9,195.48,81.2
3,0.060155195999999966,-192.62,196.98,71.3
4,0.06938271400000001,-175.2,183.28,61.4
5,0.0714896679999999,-180.62,193.52,51.5
6,0.07698723299999988,-176.7,188.76,41.6
7,0.08549281099999995,-189.4,194.54,31.709000000000003
8,0.09069644700000001,-177.12,191.5,21.815609865838226
9,0.09777668400000006,-188.62,195.68,11.916131276185345
10,0.10363230700000003,-190.38,197.44,2.016149220080014
11,0.10946820800000001,-188.46,195.52,2.016371835950288
12,0.11513913700000011,-193.78,198.82,0.016383112456368566
