iter,time,reward,steps,convergence
1,0.0014458459999993067,-201.52,200.0,89.208
2,0.003666744999998528,-199.9,198.42,79.33572913212117
3,0.008853788999998002,-199.0,200.0,69.74572913212117
4,0.01007551399999862,-199.0,200.0,59.874879983749835
5,0.012328321999998337,-208.0,200.0,50.003768439072715
6,0.014162992999999346,-199.0,200.0,40.13221360171782
7,0.01565973499999984,-239.04,198.14,30.260898366561413
8,0.01817717399999985,-199.0,200.0,20.385926666201208
9,0.022110723999999138,-199.0,200.0,10.514229513992174
10,0.02993357899999971,-199.0,200.0,0.7240050299535028
11,0.0327442910000002,-196.7,199.72,0.7256790847729278
12,0.036700250999999184,-203.68,200.0,0.7266872234418329
13,0.03936964399999887,-199.0,200.0,0.44609365328552003
