iter,time,reward,steps,convergence
1,0.00181684899999901,-151.08,186.42,89.21000000000001
2,0.0034840459999987416,-199.0,200.0,79.335156663325
3,0.005895642999998785,-202.06,200.0,69.74989123451164
4,0.006842441999998172,-199.0,200.0,59.95390896564014
5,0.00859913099999865,-199.0,200.0,50.15737583871838
6,0.01037976799999818,-199.0,200.0,40.28526608108159
7,0.011228657999998504,-199.0,200.0,30.485082290010563
8,0.012073231999998768,-199.0,200.0,20.694714971712425
9,0.012989107999999305,-200.26,200.0,10.823474343105184
10,0.013955445000000566,-200.98,200.0,0.9531999846692158
11,0.014968774999999823,-216.32,200.0,0.8748322035036935
12,0.0156553920000011,-199.0,200.0,0.9591559610868969
13,0.016496273000001338,-202.06,200.0,0.6740998267904359
14,0.016753709000001393,-199.0,200.0,0.6793862081071012
15,0.017592193000002254,-199.0,200.0,0.6163566270391726
16,0.018645809000002345,-211.56,197.26,0.6149222909083207
17,0.019482584000002134,-199.0,200.0,0.7892329121127375
18,0.020537004000001247,-199.0,200.0,0.7075135213315192
19,0.021191863000002087,-199.0,200.0,0.7098337161066383
20,0.022219871000002556,-206.38,200.0,0.7111451403793694
21,0.0226066340000024,-199.0,200.0,0.7081288267732802
22,0.023392626000003247,-199.54,200.0,0.6283625569024707
23,0.024344091000003232,-199.0,200.0,0.6303957620483388
24,0.024761605000003684,-199.0,200.0,0.630180260168612
25,0.025195316000003132,-199.0,200.0,0.6217982309380716
26,0.026174892000000227,-213.76,200.0,0.6217532661102638
27,0.027493349000002,-199.0,200.0,0.3743430967776007
