iter,time,reward,steps,convergence
1,0.005437275000000019,-190.8,194.86,89.1
2,0.00944123600000002,-194.18,197.02,81.2
3,0.012599720000000092,-189.38,194.5,73.1002
4,0.017660307000000097,-193.76,196.82,63.20741742717672
5,0.01903138900000001,-181.22,190.7,53.30741742717672
6,0.02518715299999985,-179.74,193.26,43.40806696617673
7,0.028812088999999652,-189.88,196.22,33.509504632664246
8,0.031616338999999716,-182.88,192.28,23.695680244209658
9,0.03996192999999981,-179.16,192.28,13.803246314913219
10,0.04493283199999998,-183.38,192.46,3.903819292743667
11,0.04772692199999984,-176.7,189.82,5.085749401523667
12,0.051390499999999895,-179.42,190.52,3.0861599863710425
13,0.05355988999999983,-165.18,184.36,2.2441660110947312
14,0.05639447499999961,-154.66,179.9,2.243754606451726
15,0.05979233199999978,-171.86,189.02,2.243786479550441
16,0.06061923599999952,-140.3,171.6,3.0192838205766286
17,0.06379621699999927,-137.22,172.56,3.0184520997177535
18,0.06725548199999931,-160.9,182.1,2.9322764881723393
19,0.0717728309999992,-153.46,178.7,2.9247104174687784
20,0.07478672499999961,-143.66,174.96,3.6833407575136716
21,0.07921746299999954,-106.18,159.7,3.2469328531307795
22,0.0827785809999999,-102.94,160.5,3.246522269275131
23,0.08374674399999993,1.68,92.24,2.967919101999374
24,0.08411852699999978,57.8,40.16,3.5836434307615654
25,0.08462301299999986,65.54,36.46,4.154331000729295
26,0.08497661499999998,73.06,28.94,4.658091863185428
27,0.08553382400000009,76.32,25.68,5.939675384845591
28,0.08585983000000041,73.96,28.04,6.539361188153859
29,0.08630201800000048,71.36,30.64,7.087031613617829
30,0.08688504100000038,76.16,25.84,6.839356165858547
31,0.0874044310000004,75.44,26.56,7.253545216063105
32,0.08769773300000061,75.06,26.94,7.713329327585429
33,0.0879609010000002,76.62,25.38,7.503691071977784
34,0.08815610200000012,77.6,24.4,7.3193225592856495
35,0.0887069330000001,74.06,27.94,7.728312568362002
36,0.08920046400000015,75.82,26.18,6.817594836881431
37,0.08962788399999999,75.16,26.84,6.550720200239226
38,0.09005548799999996,74.18,27.82,7.800091193792494
39,0.09059237999999992,75.94,26.06,8.928505544124162
40,0.09103502299999988,76.16,25.84,9.851654742131252
41,0.09138462200000008,75.38,26.62,9.083913771638915
42,0.09247626099999984,75.22,26.78,9.000002890104682
43,0.09281594399999982,76.0,26.0,10.263868772388438
44,0.0931150409999999,74.3,27.7,10.176668431084881
45,0.09330647699999961,76.52,25.48,9.528688451749133
46,0.09544760299999977,76.4,25.6,9.475946112648494
47,0.09577920599999956,74.28,27.72,9.792879149298043
48,0.09632533199999971,73.52,28.48,8.83600873512863
