,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,5.220284509658813,1.0844391429719573,0.014826250076293946,0.0018063514639561327,100,36,"{'NN__hidden_layer_sizes': 100, 'pca__n_components': 36}",0.91571072319202,0.9265734265734266,0.9404702351175588,0.9169169169169169,0.9273547094188377,0.9254,0.008924096712417211,18,0.9378361475922452,0.9572393098274569,0.9683789526309211,0.955261184703824,0.9474012993503248,0.9532233788209543,0.01020426642559557
1,7.799505615234375,0.8379228620664012,0.02169175148010254,0.0008352154409362743,100,76,"{'NN__hidden_layer_sizes': 100, 'pca__n_components': 76}",0.9336658354114713,0.932067932067932,0.943471735867934,0.9319319319319319,0.935871743486974,0.9354,0.0042775351183083,1,0.9791119449656035,0.9862465616404101,0.9746281714785652,0.9741314671332167,0.9796351824087957,0.9787506655253182,0.00436882827473195
2,7.93490686416626,1.3369274380040832,0.028485536575317383,0.0035630026413426778,100,116,"{'NN__hidden_layer_sizes': 100, 'pca__n_components': 116}",0.9236907730673317,0.926073926073926,0.9349674837418709,0.9269269269269269,0.9298597194388778,0.9283,0.0038730572231733856,15,0.9742338961851157,0.9871217804451112,0.9687539057617798,0.9865033741564608,0.9842578710644677,0.980174165522587,0.007358179378101437
3,9.572831201553345,2.084280966649952,0.037021636962890625,0.009108107081543257,100,156,"{'NN__hidden_layer_sizes': 100, 'pca__n_components': 156}",0.9241895261845386,0.935064935064935,0.928464232116058,0.9234234234234234,0.9338677354709419,0.929,0.004796252734835354,13,0.9884928080050032,0.9927481870467617,0.9788776402949632,0.9890027493126718,0.9906296851574213,0.9879502139633644,0.004773131959477282
4,10.073897218704223,1.7030636773915493,0.03685770034790039,0.0039802408832798255,100,196,"{'NN__hidden_layer_sizes': 100, 'pca__n_components': 196}",0.9226932668329177,0.9300699300699301,0.9374687343671836,0.9244244244244244,0.9333667334669339,0.9296,0.005492704215769349,11,0.9877423389618512,0.9933733433358339,0.9937507811523559,0.9852536865783554,0.9825087456271864,0.9885257791311165,0.004434514295858894
5,10.054943084716797,1.9917915694508093,0.019297313690185548,0.0017371724882153734,"(100, 100)",36,"{'NN__hidden_layer_sizes': (100, 100), 'pca__n_components': 36}",0.9311720698254364,0.9330669330669331,0.9374687343671836,0.9274274274274275,0.9343687374749499,0.9327,0.00333934051913519,6,0.9812382739212008,0.9859964991247812,0.9592550931133609,0.9753811547113221,0.9766366816591704,0.975701540505967,0.009034427018312204
6,11.813995504379273,1.9967088957542802,0.028645992279052734,0.0029783153434536896,"(100, 100)",76,"{'NN__hidden_layer_sizes': (100, 100), 'pca__n_components': 76}",0.9326683291770573,0.9365634365634365,0.9459729864932466,0.923923923923924,0.935370741482966,0.9349,0.007083604227588749,3,0.9923702313946217,0.9858714678669668,0.9931258592675916,0.9803799050237441,0.9877561219390305,0.9879007170983909,0.0046471505936018405
7,12.808909797668457,1.171419975192887,0.03450288772583008,0.00349004973682605,"(100, 100)",116,"{'NN__hidden_layer_sizes': (100, 100), 'pca__n_components': 116}",0.9301745635910225,0.932067932067932,0.9399699849924963,0.9359359359359359,0.9343687374749499,0.9345,0.003366299569264611,5,0.9902439024390244,0.9933733433358339,0.984251968503937,0.9932516870782304,0.9923788105947027,0.9906999423903458,0.003413543955835204
8,10.354693269729614,4.549180662098779,0.037794637680053714,0.002080523845307619,"(100, 100)",156,"{'NN__hidden_layer_sizes': (100, 100), 'pca__n_components': 156}",0.9132169576059851,0.9305694305694305,0.9319659829914958,0.918918918918919,0.9288577154308617,0.9247,0.007349587638208689,20,0.9673545966228893,0.9846211552888222,0.9915010623672041,0.9823794051487128,0.994127936031984,0.9839968310919225,0.009369339249342343
9,13.575805473327637,7.386419768005963,0.04214801788330078,0.0038871459701197253,"(100, 100)",196,"{'NN__hidden_layer_sizes': (100, 100), 'pca__n_components': 196}",0.9182044887780548,0.9215784215784216,0.9324662331165583,0.9099099099099099,0.9313627254509018,0.9227,0.00842812560000215,24,0.9868667917448405,0.9926231557889472,0.9937507811523559,0.9706323419145214,0.9937531234382808,0.9875252388077891,0.008824241610277549
10,20.175610065460205,5.014064936226642,0.045286130905151364,0.005765806713533838,"(100, 100, 100)",36,"{'NN__hidden_layer_sizes': (100, 100, 100), 'pca__n_components': 36}",0.9301745635910225,0.9340659340659341,0.9469734867433717,0.933933933933934,0.9308617234468938,0.9352,0.006091560479922525,2,0.9931207004377736,0.9921230307576894,0.9836270466191726,0.9843789052736815,0.9691404297851074,0.9844780225746849,0.008592063403612038
11,16.344204092025755,1.7345375449588907,0.045673370361328125,0.018198084623690623,"(100, 100, 100)",76,"{'NN__hidden_layer_sizes': (100, 100, 100), 'pca__n_components': 76}",0.9286783042394015,0.9305694305694305,0.9449724862431216,0.933933933933934,0.9348697394789579,0.9346,0.005647413092094105,4,0.9887429643527205,0.9928732183045762,0.9931258592675916,0.99087728067983,0.9920039980009995,0.9915246641211436,0.001598070347185758
