,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,16.897208786010744,4.565038158207175,0.03012423515319824,0.017880355922736006,100,36,"{'NN__hidden_layer_sizes': 100, 'ica__n_components': 36}",0.8632051922116825,0.8151848151848152,0.8394197098549274,0.8483483483483484,0.8553553553553553,0.8443,0.016545457397540916,25,0.8625734650493935,0.8397099274818705,0.8543932008498938,0.8524118970257436,0.844288927768058,0.8506754836349918,0.00799287222567373
1,25.368358850479126,2.772528457873374,0.02570819854736328,0.00573470928318274,100,76,"{'NN__hidden_layer_sizes': 100, 'ica__n_components': 76}",0.8881677483774338,0.8716283716283716,0.8734367183591796,0.8748748748748749,0.8778778778778779,0.8772,0.005857663264220233,22,0.8885832187070152,0.8953488372093024,0.8923884514435696,0.8944013996500875,0.8720319920019995,0.8885507798023948,0.008579539188235268
2,25.62119460105896,6.02268406097317,0.03216023445129394,0.003338285083283461,100,116,"{'NN__hidden_layer_sizes': 100, 'ica__n_components': 116}",0.8956565152271593,0.8746253746253746,0.8824412206103052,0.8858858858858859,0.8918918918918919,0.8861,0.00735120270773663,14,0.9092159559834938,0.9066016504126031,0.9032620922384702,0.903899025243689,0.8924018995251187,0.9030761246806749,0.005740691457555133
3,29.825342082977294,2.0306454997890686,0.03402786254882813,0.0044351643866501755,100,156,"{'NN__hidden_layer_sizes': 100, 'ica__n_components': 156}",0.8966550174737893,0.8811188811188811,0.8954477238619309,0.8853853853853854,0.8973973973973974,0.8912,0.006659006455685511,12,0.9189696136051019,0.917854463615904,0.9238845144356955,0.9070232441889527,0.8999000249937515,0.9135263721678811,0.008759227990945763
4,60.70377655029297,6.38088396193612,0.03135004043579102,0.0016990762268872285,100,196,"{'NN__hidden_layer_sizes': 100, 'ica__n_components': 196}",0.8876684972541188,0.8781218781218781,0.888944472236118,0.8803803803803804,0.8938938938938938,0.8858,0.0057823922666174745,16,0.9149681130423909,0.9274818704676169,0.9368828896387952,0.9021494626343414,0.9010247438140465,0.9165014159194381,0.01402734339299947
5,25.64484362602234,8.259237500029567,0.022399139404296876,0.004002419321846501,"(100, 100)",36,"{'NN__hidden_layer_sizes': (100, 100), 'ica__n_components': 36}",0.8552171742386421,0.8856143856143857,0.8839419709854928,0.8433433433433434,0.8743743743743744,0.8685,0.016582682117289565,23,0.8663248718269351,0.9119779944986247,0.9111361079865017,0.8511622094476381,0.8542864283929018,0.8789775224305203,0.027080018870324792
6,23.53417592048645,3.1042472438372246,0.027905702590942383,0.0028325609166778144,"(100, 100)",76,"{'NN__hidden_layer_sizes': (100, 100), 'ica__n_components': 76}",0.9001497753369945,0.8806193806193806,0.888944472236118,0.8688688688688688,0.8863863863863863,0.885,0.01026151438530185,17,0.9082155808428161,0.907101775443861,0.9116360454943132,0.8935266183454137,0.8884028992751812,0.901776583880317,0.009098842801522776
7,28.823470497131346,4.792479907855371,0.03757476806640625,0.005238620591347507,"(100, 100)",116,"{'NN__hidden_layer_sizes': (100, 100), 'ica__n_components': 116}",0.9036445332001997,0.8871128871128872,0.8909454727363681,0.8798798798798799,0.8998998998998999,0.8923,0.00859609444555812,11,0.9129673627610354,0.9212303075768942,0.9235095613048369,0.9090227443139215,0.9106473381654586,0.9154754628244293,0.005812123645351443
8,36.25657839775086,6.036146643427759,0.04200596809387207,0.006375874881889257,"(100, 100)",156,"{'NN__hidden_layer_sizes': (100, 100), 'ica__n_components': 156}",0.8956565152271593,0.8886113886113887,0.9009504752376188,0.8923923923923924,0.9074074074074074,0.897,0.006591811779782509,7,0.9189696136051019,0.9374843710927732,0.9478815148106486,0.9358910272431892,0.9320169957510622,0.9344487045005551,0.00935148567631953
9,66.62254843711852,8.16776788465816,0.04765143394470215,0.010864291910991307,"(100, 100)",196,"{'NN__hidden_layer_sizes': (100, 100), 'ica__n_components': 196}",0.8746879680479281,0.8931068931068931,0.8839419709854928,0.8993993993993994,0.9119119119119119,0.8926,0.012769228052959282,10,0.9097161435538327,0.9602400600150037,0.9340082489688789,0.9547613096725819,0.9425143714071482,0.9402480267234891,0.017813387165988865
10,62.39703140258789,4.675196756091059,0.033709716796875,0.006856402302465555,"(100, 100, 100)",36,"{'NN__hidden_layer_sizes': (100, 100, 100), 'ica__n_components': 36}",0.9121318022965552,0.8866133866133866,0.8909454727363681,0.8528528528528528,0.8883883883883884,0.8862,0.01903602276918664,13,0.9195948480680255,0.9203550887721931,0.9083864516935383,0.8702824293926519,0.8845288677830543,0.9006295371418925,0.019945569089663693
11,41.638699245452884,13.865732951445064,0.0310823917388916,0.004596112992045735,"(100, 100, 100)",76,"{'NN__hidden_layer_sizes': (100, 100, 100), 'ica__n_components': 76}",0.9196205691462805,0.9075924075924076,0.897448724362181,0.8863863863863863,0.9039039039039038,0.903,0.011001114531478347,3,0.9466049768663248,0.9456114028507127,0.9421322334708161,0.9033991502124469,0.9181454636340914,0.9311786454068784,0.017365606592248072
