,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,8.852135944366456,2.7177156228018164,0.04737133979797363,0.0016577442061841987,100,5,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 5}",0.29790419161676646,0.2753623188405797,0.2695,0.26413206603301653,0.2865731462925852,0.2787,0.012159813407945173,26,0.3009004502251126,0.27440930116264534,0.263875,0.2753405824271966,0.27298850574712646,0.2775027679124162,0.012391858144620148
1,20.079193782806396,2.9851456615809493,0.1139111042022705,0.03713114112830767,100,10,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 10}",0.45109780439121755,0.4267866066966517,0.3955,0.4107053526763382,0.45991983967935873,0.4288,0.024103494894985963,22,0.4588544272136068,0.4205525690711339,0.403,0.40857392825896766,0.4622688655672164,0.430649958022185,0.02509611893929005
2,39.506561851501466,4.665742308912952,0.16071319580078125,0.01478785719125118,100,15,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 15}",0.4880239520958084,0.42278860569715143,0.4425,0.45822911455727866,0.48547094188376755,0.4594,0.02500939261423332,18,0.49149574787393696,0.4215526940867608,0.4685,0.4676915385576803,0.4877561219390305,0.46739922049148175,0.024892758855521013
3,34.38617434501648,4.115869849714141,0.17899322509765625,0.019429677207445397,100,20,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 20}",0.5029940119760479,0.4572713643178411,0.4625,0.46973486743371684,0.48997995991983967,0.4765,0.01729943277840116,11,0.5053776888444222,0.46080760095011875,0.494375,0.47781527309086363,0.49962518740629686,0.4876001500583403,0.016248849222191233
4,49.1578266620636,9.44350166680895,0.2354668140411377,0.07442418430656851,100,25,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 25}",0.5319361277445109,0.49725137431284355,0.4845,0.5097548774387194,0.5040080160320641,0.5055,0.015682199639207507,1,0.5350175087543771,0.498812351543943,0.5265,0.5284339457567804,0.5069965017491255,0.5191520615608451,0.013808109400573839
5,65.69476060867309,12.524741170500107,0.29925336837768557,0.06632070914322799,100,30,"{'NN__hidden_layer_sizes': 100, 'gmm__n_components': 30}",0.5454091816367266,0.48575712143928035,0.517,0.4842421210605303,0.4849699398797595,0.5035,0.024374028304987146,4,0.5512756378189094,0.5080635079384923,0.557,0.514185726784152,0.5029985007496252,0.5267046746582358,0.02274967605105231
6,12.289909172058106,5.211420946551901,0.06864933967590332,0.02202285946898079,"(100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 5}",0.29790419161676646,0.2753623188405797,0.2695,0.2651325662831416,0.2575150300601202,0.2731,0.013714319732804238,30,0.3009004502251126,0.27440930116264534,0.26375,0.27371578552680914,0.2549975012493753,0.27355460763278844,0.015421077229466918
7,22.393120431900023,4.93187211287675,0.10552821159362794,0.028912319520463282,"(100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 10}",0.45109780439121755,0.42478760619690153,0.3825,0.4107053526763382,0.4634268537074148,0.4265,0.02882848359463145,24,0.4588544272136068,0.4224278034754344,0.3975,0.40857392825896766,0.4631434282858571,0.4300999174467732,0.026471417043077778
8,33.31197037696838,4.93939082587814,0.14571380615234375,0.028183098289221872,"(100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 15}",0.48902195608782434,0.4257871064467766,0.449,0.45822911455727866,0.47945891783567135,0.4603,0.022434983757351482,16,0.49149574787393696,0.42005250656332044,0.467,0.4676915385576803,0.4885057471264368,0.4669491080242749,0.025561968777727567
9,39.11567468643189,7.8974539163230535,0.1741640567779541,0.01816753801706353,"(100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 20}",0.49650698602794413,0.4572713643178411,0.462,0.46973486743371684,0.48897795591182364,0.4749,0.015294361506218516,12,0.5067533766883442,0.46080760095011875,0.497375,0.4781902262217223,0.4993753123438281,0.4885003032408027,0.016753412811363295
10,51.39991970062256,7.897518715214358,0.2128286361694336,0.016368240289425073,"(100, 100)",25,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 25}",0.5344311377245509,0.49725137431284355,0.4845,0.49724862431215605,0.49198396793587174,0.5011,0.017328170773577237,8,0.5313906953476738,0.49993749218652334,0.5265,0.5239345081864767,0.5038730634682659,0.5171271518377879,0.012718445769996709
11,64.26593823432923,9.437811677063973,0.24765629768371583,0.038143713854055586,"(100, 100)",30,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 30}",0.5454091816367266,0.48575712143928035,0.5185,0.4842421210605303,0.4909819639278557,0.505,0.02373047703653368,2,0.5511505752876438,0.5080635079384923,0.561375,0.5134358205224347,0.5062468765617192,0.528054356062058,0.023377777512568733
12,11.026001167297363,1.4910311179754023,0.06708793640136719,0.019107430859646213,"(100, 100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100, 100), 'gmm__n_components': 5}",0.3003992015968064,0.2753623188405797,0.269,0.26413206603301653,0.2845691382765531,0.2787,0.012833777499052039,26,0.30115057528764383,0.27440930116264534,0.263875,0.2753405824271966,0.2709895052473763,0.2771529928249724,0.01265693732322163
