,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,7.316363573074341,1.932906649960282,0.0240633487701416,0.0048980632280382925,100,5,"{'NN__hidden_layer_sizes': 100, 'km__n_clusters': 5}",0.43962075848303395,0.40729635182408797,0.5445,0.16066066066066065,0.19128693039559339,0.3488,0.14840559101441336,30,0.45760380190095046,0.4028003500437555,0.551,0.16070982254436392,0.19180307384730727,0.3527834096672754,0.15204325504720648
1,8.318442869186402,0.7866510932469954,0.01796431541442871,0.003026539141850376,100,10,"{'NN__hidden_layer_sizes': 100, 'km__n_clusters': 10}",0.49750499001996007,0.5552223888055972,0.569,0.36686686686686687,0.3675513269904857,0.4713,0.08823023089471578,23,0.5080040020010005,0.5555694461807726,0.580125,0.379905023744064,0.3612395351743096,0.47696860142002934,0.09010780913958337
2,11.218502187728882,1.8849222903775547,0.015914726257324218,0.0075558776268823125,100,15,"{'NN__hidden_layer_sizes': 100, 'km__n_clusters': 15}",0.6207584830339321,0.5307346326836582,0.6415,0.43293293293293295,0.46219328993490233,0.5377,0.08293776365513987,18,0.6195597798899449,0.5266908363545443,0.643125,0.4247688077980505,0.47232287892040486,0.537293460592589,0.08362230759093348
3,13.537390184402465,1.2789404423793544,0.018286657333374024,0.00787042813394468,100,20,"{'NN__hidden_layer_sizes': 100, 'km__n_clusters': 20}",0.5988023952095808,0.617191404297851,0.6305,0.23073073073073072,0.22884326489734602,0.4614,0.18918334955389096,24,0.599799899949975,0.6237029628703588,0.636625,0.2348162959260185,0.22966387604648256,0.4649216069585669,0.1903577590783694
4,15.319565343856812,2.4448117952483646,0.013725376129150391,0.0025162271485556762,100,25,"{'NN__hidden_layer_sizes': 100, 'km__n_clusters': 25}",0.595309381237525,0.6591704147926037,0.621,0.1991991991991992,0.4276414621932899,0.5006,0.17012212052586298,22,0.6031765882941471,0.6552069008626078,0.619125,0.20282429392651838,0.43933524928151946,0.5039336064729586,0.16783420511503758
5,15.515660762786865,2.912336473382466,0.012967824935913086,0.0020850744897623497,100,30,"{'NN__hidden_layer_sizes': 100, 'km__n_clusters': 30}",0.6497005988023952,0.6446776611694153,0.687,0.3633633633633634,0.20480721081622433,0.5101,0.19158032612324832,21,0.644072036018009,0.6560820102512814,0.688875,0.3687828042989253,0.19830063726102712,0.5112224975658486,0.1941148354856654
6,11.785622596740723,4.83494989969591,0.0268247127532959,0.0021507723291008104,"(100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 5}",0.4176646706586826,0.41629185407296354,0.5875,0.13513513513513514,0.21682523785678517,0.3548,0.16068925236697396,29,0.41908454227113556,0.4091761470183773,0.5815,0.1340914771307173,0.21916781207047356,0.35260399569814077,0.15847169339336015
7,24.208884525299073,5.1407619949492105,0.024745798110961913,0.00486604142295534,"(100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 10}",0.5474051896207585,0.6061969015492253,0.638,0.3973973973973974,0.4987481221832749,0.5376,0.08488662899494702,19,0.5560280140070035,0.6060757594699338,0.635875,0.40639840039990005,0.5124328376858678,0.5433620023125411,0.08045836116097409
8,25.30129404067993,7.822556932987741,0.0192136287689209,0.004137977532263666,"(100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 15}",0.5868263473053892,0.6571714142928535,0.6225,0.3638638638638639,0.4847270906359539,0.5431,0.10652203856051226,17,0.5916708354177088,0.6599574946868358,0.62475,0.37378155461134716,0.4913157565912783,0.5482951282614341,0.10382381195432792
9,17.231783866882324,4.743648436242146,0.019200468063354494,0.004190857550727434,"(100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 20}",0.5983033932135728,0.5357321339330335,0.6615,0.16516516516516516,0.22834251377065598,0.438,0.20174831023411557,27,0.603551775887944,0.5404425553194149,0.6715,0.16920769807548114,0.22953892290391104,0.4428481904373502,0.2039666223309013
10,22.11518349647522,3.3039641420844457,0.018639039993286134,0.0021771336453805085,"(100, 100)",25,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 25}",0.5683632734530938,0.6206896551724138,0.688,0.4074074074074074,0.48072108162243365,0.5531,0.09943645617899789,16,0.5806653326663331,0.6234529316164521,0.69175,0.40939765058735317,0.48169436461327003,0.5573920558966816,0.10058849469460278
11,23.325949573516844,4.303880246487335,0.01792006492614746,0.001682369962137188,"(100, 100)",30,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 30}",0.6551896207584831,0.6441779110444777,0.676,0.5515515515515516,0.6249374061091637,0.6304,0.04272164793903231,6,0.6538269134567284,0.6374546818352294,0.68725,0.5501124718820295,0.6358865425465451,0.6329061219441064,0.04533276385644417
12,20.12348141670227,3.3429321435466615,0.02901592254638672,0.0057239682437461295,"(100, 100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100, 100), 'km__n_clusters': 5}",0.47055888223552894,0.4332833583208396,0.618,0.23323323323323322,0.3329994992488733,0.4177,0.12986152290014896,28,0.4743621810905453,0.42330291286410804,0.608375,0.24181454636340916,0.3353742346620017,0.4166457749960129,0.12434357121390867
